Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86
0.00000,362.369,0.00000,1987.410,0.00000,4347.419,0.00000,6825.443,0.00000,3076.800,0.000000,0.000,0.00000,1058.181,0.000000,2186.002,0.00000,551.870,0.000000,3013.681,0.00000,2376.437,0.00000,489.463,0.00000,757.767,0.00000,5191.210,0.000000,3537.130,0.000000,9730.791,0.000000,3318.920,0.00000,869.168,0.00000,4045.933,0.000000,3305.846,0.00000,787.534,0.000000,0.489,0.00000,2898.291,0.000000,7392.255,0.00000,3360.004,0.00000,2037.989,0.00000,2768.698,0.00000,2188.662,0.00000,3157.388,0.000000,4132.760,0.00000,406.371,0.00000,6521.663,0.00000,8698.089,0.00000,7474.104,0.00000,285.904,0.00000,272.401,0.00000,1803.710,0.00000,2091.400,0.00000,1425.528,0.000000,1423.575,0.000000,1642.267,0.00000,357.374,0.000000,1331.341,0.00000,1436.114,0.00000,4052.742,0.00000,5583.311,0.00000,3999.021,0.00000,729.765,0.00000,2110.740,0.00000,570.167,0.00000,2549.156,0.00000,442.168,0.00000,4938.841,0.00000,3806.554,0.00000,3381.078,0.00000,4196.166,0.00000,1203.050,0.00000,4682.464,0.00000,496.439,0.00000,2556.906,0.00000,2154.516,0.00000,2121.059,0.00000,352.471,0.00000,782.698,0.00000,97.129,0.00000,1303.815,0.00000,1540.647,0.00000,6332.666,0.00000,6606.133,0.00000,0.009,0.00000,4964.773,0.00000,922.637,0.00000,2259.958,0.00000,2923.348,0.00000,3655.090,0.00000,2686.763,0.00000,2576.903,0.00000,2308.805,0.00000,1803.815,0.000000,663.540,0.00000,3080.357,0.000000,2520.506,0.00000,1854.842,0.000000,3581.499,0.00000,2647.280,0.000000,601.157,0.00000,1754.265
0.03224,454.792,0.03224,2517.938,0.03224,5096.138,0.03224,8424.750,0.03224,3655.200,0.032242,1.084,0.03224,1638.106,0.032242,2937.083,0.03224,1446.775,0.032242,3988.325,0.03224,2829.119,0.03224,215.878,0.03224,1081.800,0.03224,6129.209,0.032242,4258.020,0.032242,9855.603,0.032242,3930.624,0.03224,489.273,0.03224,5562.733,0.032242,3635.866,0.03224,1793.703,0.032242,0.000,0.03224,3477.638,0.032242,8222.841,0.03224,3188.283,0.03224,3060.005,0.03224,4179.722,0.03224,2719.154,0.03224,4214.732,0.032242,4423.898,0.03224,420.898,0.03224,7488.516,0.03224,9191.791,0.03224,7863.432,0.03224,616.867,0.03224,246.927,0.03224,2158.625,0.03224,2205.345,0.03224,1829.719,0.032242,1842.141,0.032242,1721.584,0.03224,650.892,0.032242,1637.979,0.03224,2269.788,0.03224,5355.546,0.03224,6382.204,0.03224,3944.974,0.03224,598.205,0.03224,2548.252,0.03224,1134.497,0.03224,2898.943,0.03224,279.430,0.03224,4957.853,0.03224,3945.245,0.03224,4554.898,0.03224,4582.535,0.03224,1815.041,0.03224,4541.833,0.03224,334.991,0.03224,3372.761,0.03224,2132.573,0.03224,2188.623,0.03224,651.426,0.03224,1488.055,0.03224,363.343,0.03224,1994.352,0.03224,2277.033,0.03224,6147.362,0.03224,7555.273,0.03224,15.178,0.03224,6493.741,0.03224,960.166,0.03224,2462.409,0.03224,3248.450,0.03224,4470.846,0.03224,4341.215,0.03224,3132.368,0.03224,2822.555,0.03224,2283.459,0.032242,1473.401,0.03224,3519.833,0.032242,2369.201,0.03224,1957.210,0.032242,4124.994,0.03224,2884.385,0.032242,1402.409,0.03224,2031.368
0.06448,497.105,0.06448,3056.501,0.06448,6059.194,0.06448,9201.440,0.06448,4678.500,0.064484,122.355,0.06448,2374.343,0.064484,3509.398,0.06448,2420.404,0.064484,4854.058,0.06448,2983.811,0.06448,76.041,0.06448,1781.167,0.06448,6949.822,0.064484,5084.654,0.064484,9212.721,0.064484,5031.073,0.06448,395.676,0.06448,6558.200,0.064484,4232.816,0.06448,2756.170,0.064484,4.454,0.06448,4044.385,0.064484,8939.661,0.06448,2587.241,0.06448,4221.615,0.06448,5522.515,0.06448,3442.254,0.06448,4937.843,0.064484,4325.554,0.06448,459.511,0.06448,8769.816,0.06448,8983.331,0.06448,8682.674,0.06448,1079.560,0.06448,635.102,0.06448,2794.785,0.06448,2222.988,0.06448,2135.372,0.064484,2139.159,0.064484,1863.036,0.06448,1008.623,0.064484,2163.886,0.06448,3313.604,0.06448,6761.986,0.06448,6648.796,0.06448,3944.937,0.06448,536.583,0.06448,2890.427,0.06448,2017.340,0.06448,3481.910,0.06448,179.524,0.06448,4936.457,0.06448,3676.355,0.06448,5574.819,0.06448,4733.880,0.06448,2083.594,0.06448,4393.122,0.06448,259.985,0.06448,4105.596,0.06448,2171.793,0.06448,2173.287,0.06448,1475.120,0.06448,2354.145,0.06448,767.059,0.06448,3105.565,0.06448,3025.490,0.06448,5162.299,0.06448,8410.905,0.06448,159.320,0.06448,8293.522,0.06448,1484.456,0.06448,2745.017,0.06448,3510.138,0.06448,5232.448,0.06448,6183.428,0.06448,3691.375,0.06448,3271.838,0.06448,2724.070,0.064484,2290.218,0.06448,4074.876,0.064484,2281.306,0.06448,2377.732,0.064484,4550.843,0.06448,2970.069,0.064484,2040.883,0.06448,2224.276
0.09673,459.456,0.09673,3253.305,0.09673,7435.259,0.09673,9339.890,0.09673,5794.967,0.096726,585.732,0.09673,3356.070,0.096726,3964.062,0.09673,2990.582,0.096726,5228.094,0.09673,3166.434,0.09673,59.854,0.09673,2970.033,0.09673,7846.832,0.096726,5962.276,0.096726,7982.924,0.096726,5941.304,0.09673,639.601,0.09673,6933.233,0.096726,4933.415,0.09673,3359.276,0.096726,32.677,0.09673,4392.504,0.096726,9465.035,0.09673,1663.066,0.09673,5461.328,0.09673,6578.249,0.09673,4077.568,0.09673,5270.524,0.096726,4093.210,0.09673,484.789,0.09673,10116.498,0.09673,8324.302,0.09673,9947.364,0.09673,1584.635,0.09673,1257.586,0.09673,3747.476,0.09673,2245.512,0.09673,2540.364,0.096726,2212.154,0.096726,1982.920,0.09673,1208.703,0.096726,2888.258,0.09673,4399.598,0.09673,8145.798,0.09673,6250.894,0.09673,3821.993,0.09673,417.251,0.09673,3302.327,0.09673,2994.992,0.09673,4167.625,0.09673,119.134,0.09673,4843.876,0.09673,3218.173,0.09673,6448.353,0.09673,4593.954,0.09673,2031.730,0.09673,4572.842,0.09673,285.904,0.09673,4688.522,0.09673,2225.655,0.09673,2090.821,0.09673,2505.379,0.09673,3322.421,0.09673,1335.746,0.09673,4466.528,0.09673,3578.724,0.09673,4014.989,0.09673,9255.286,0.09673,574.797,0.09673,9944.684,0.09673,3075.541,0.09673,2820.796,0.09673,3883.096,0.09673,6233.180,0.09673,8119.259,0.09673,4243.083,0.09673,3681.593,0.09673,3237.598,0.096726,2917.682,0.09673,4606.750,0.096726,2394.562,0.09673,3195.303,0.096726,4779.229,0.09673,2989.685,0.096726,2550.534,0.09673,2211.132
0.12897,367.632,0.12897,3145.453,0.12897,8855.796,0.12897,9671.627,0.12897,6567.367,0.128968,1065.404,0.12897,4409.866,0.128968,4335.693,0.12897,3222.419,0.128968,4989.066,0.12897,3620.389,0.12897,59.787,0.12897,4363.100,0.12897,8689.786,0.128968,7078.055,0.128968,6452.669,0.128968,6175.459,0.12897,1110.585,0.12897,6908.583,0.128968,5486.574,0.12897,3804.175,0.128968,105.895,0.12897,4528.428,0.128968,9726.282,0.12897,811.947,0.12897,6829.800,0.12897,7352.796,0.12897,4221.157,0.12897,5319.439,0.128968,3927.907,0.12897,492.825,0.12897,11203.200,0.12897,7534.921,0.12897,10772.307,0.12897,2050.204,0.12897,1865.571,0.12897,4776.441,0.12897,2290.166,0.12897,3160.661,0.128968,2193.594,0.128968,1928.279,0.12897,1309.190,0.128968,3602.461,0.12897,5325.145,0.12897,9340.497,0.12897,5535.056,0.12897,3527.305,0.12897,258.525,0.12897,3770.743,0.12897,3625.198,0.12897,4630.838,0.12897,193.384,0.12897,4675.806,0.12897,2847.334,0.12897,6997.397,0.12897,4355.989,0.12897,1912.854,0.12897,4977.334,0.12897,389.716,0.12897,5105.875,0.12897,2175.707,0.12897,2035.057,0.12897,3369.715,0.12897,3873.320,0.12897,1866.137,0.12897,5683.563,0.12897,4007.840,0.12897,3330.401,0.12897,10022.691,0.12897,1184.730,0.12897,10774.968,0.12897,6000.124,0.12897,2682.810,0.12897,4449.805,0.12897,7573.538,0.12897,9790.532,0.12897,4771.045,0.12897,4126.318,0.12897,3844.482,0.128968,3239.943,0.12897,4844.015,0.128968,2710.190,0.12897,4009.071,0.128968,4818.302,0.12897,2851.008,0.128968,2959.743,0.12897,1902.226
0.16121,301.329,0.16121,3183.971,0.16121,9968.521,0.16121,10632.847,0.16121,6874.133,0.161210,1483.657,0.16121,5174.850,0.161210,4872.564,0.16121,3584.013,0.161210,4565.442,0.16121,4155.102,0.16121,35.694,0.16121,5407.533,0.16121,9282.859,0.161210,8198.423,0.161210,4980.523,0.161210,5742.000,0.16121,1571.629,0.16121,6483.383,0.161210,5729.716,0.16121,4366.570,0.161210,165.286,0.16121,4368.724,0.161210,9829.982,0.16121,412.114,0.16121,8055.317,0.16121,7911.459,0.16121,3801.670,0.16121,5196.691,0.161210,3822.288,0.16121,502.875,0.16121,11589.324,0.16121,7060.088,0.16121,11052.570,0.16121,2510.058,0.16121,2323.002,0.16121,5597.996,0.16121,2348.694,0.16121,3882.160,0.161210,2236.862,0.161210,1762.016,0.16121,1443.672,0.161210,4089.311,0.16121,5960.415,0.16121,10367.025,0.16121,4968.203,0.16121,3330.292,0.16121,114.558,0.16121,4116.561,0.16121,3728.557,0.16121,4786.353,0.16121,299.380,0.16121,4485.107,0.16121,2638.424,0.16121,7174.937,0.16121,4278.870,0.16121,1865.713,0.16121,5275.146,0.16121,625.604,0.16121,5365.704,0.16121,2029.510,0.16121,2125.961,0.16121,3708.394,0.16121,3828.210,0.16121,2312.500,0.16121,6530.386,0.16121,4427.204,0.16121,3088.075,0.16121,10302.078,0.16121,1842.956,0.16121,10789.488,0.16121,9553.094,0.16121,2557.329,0.16121,5118.984,0.16121,8946.588,0.16121,10820.054,0.16121,5106.052,0.16121,4753.935,0.16121,4360.758,0.161210,3457.808,0.16121,4927.160,0.161210,3049.276,0.16121,4323.196,0.161210,4726.108,0.16121,2424.249,0.161210,3215.160,0.16121,1333.256
0.19345,302.899,0.19345,3720.630,0.19345,10730.546,0.19345,11700.186,0.19345,6983.250,0.193452,1810.125,0.19345,5323.702,0.193452,5595.959,0.19345,4134.212,0.193452,4189.417,0.19345,4443.981,0.19345,28.303,0.19345,5843.033,0.19345,9251.941,0.193452,8503.090,0.193452,3718.728,0.193452,4914.665,0.19345,1837.504,0.19345,5495.800,0.193452,5508.100,0.19345,5328.927,0.193452,149.563,0.19345,4032.722,0.193452,9762.450,0.19345,372.153,0.19345,8864.677,0.19345,8186.825,0.19345,3153.254,0.19345,4958.282,0.193452,3658.307,0.19345,544.278,0.19345,11396.378,0.19345,6875.015,0.19345,10725.136,0.19345,2873.524,0.19345,2708.335,0.19345,6242.920,0.19345,2379.940,0.19345,4479.800,0.193452,2367.098,0.193452,1723.530,0.19345,1580.687,0.193452,4271.318,0.19345,6297.554,0.19345,11243.594,0.19345,4678.656,0.19345,3093.802,0.19345,103.594,0.19345,4290.527,0.19345,3542.938,0.19345,4799.083,0.19345,283.271,0.19345,4403.238,0.19345,2187.659,0.19345,7043.194,0.19345,4377.482,0.19345,1755.523,0.19345,5350.136,0.19345,1387.118,0.19345,5535.481,0.19345,1925.077,0.19345,2160.747,0.19345,3494.841,0.19345,3479.075,0.19345,2866.013,0.19345,6968.966,0.19345,4763.958,0.19345,2759.561,0.19345,10114.132,0.19345,2255.817,0.19345,10370.693,0.19345,12348.383,0.19345,2828.264,0.19345,5724.516,0.19345,9722.153,0.19345,11111.063,0.19345,4954.249,0.19345,5515.097,0.19345,4740.278,0.193452,3897.791,0.19345,4938.533,0.193452,3180.498,0.19345,4182.051,0.193452,4523.539,0.19345,1689.328,0.193452,3228.857,0.19345,686.278
0.22569,312.524,0.22569,4578.130,0.22569,11141.439,0.22569,11925.937,0.22569,7142.400,0.225694,2110.167,0.22569,4924.862,0.225694,6540.995,0.22569,4702.793,0.225694,3840.615,0.22569,4426.079,0.22569,104.059,0.22569,6016.633,0.22569,8437.246,0.225694,7939.109,0.225694,2801.687,0.225694,4066.633,0.22569,1947.227,0.22569,3948.900,0.225694,4977.249,0.22569,6511.978,0.225694,66.222,0.22569,3539.756,0.225694,9368.792,0.22569,307.093,0.22569,9204.788,0.22569,8048.632,0.22569,2734.239,0.22569,4581.022,0.225694,3417.208,0.22569,682.086,0.22569,11121.333,0.22569,6649.681,0.22569,10327.827,0.22569,2936.880,0.22569,3036.363,0.22569,6919.105,0.22569,2419.379,0.22569,4813.386,0.225694,2544.703,0.225694,1847.381,0.22569,1628.437,0.225694,4211.115,0.22569,6409.307,0.22569,11958.980,0.22569,4463.839,0.22569,2429.542,0.22569,211.911,0.22569,4490.696,0.22569,3414.289,0.22569,4753.401,0.22569,293.675,0.22569,4437.252,0.22569,1476.597,0.22569,6801.691,0.22569,4315.615,0.22569,1502.554,0.22569,5282.050,0.22569,3103.573,0.22569,5594.218,0.22569,1898.861,0.22569,1810.360,0.22569,3076.059,0.22569,3386.220,0.22569,3495.481,0.22569,7059.474,0.22569,4847.357,0.22569,1948.279,0.22569,9840.094,0.22569,2415.601,0.22569,9889.497,0.22569,13678.085,0.22569,3337.055,0.22569,6062.533,0.22569,9875.053,0.22569,10899.011,0.22569,4283.115,0.22569,6226.360,0.22569,5045.330,0.225694,4702.251,0.22569,5012.461,0.225694,3132.303,0.22569,3983.512,0.225694,4355.132,0.22569,853.192,0.225694,3346.793,0.22569,220.876
0.25794,283.369,0.25794,5188.846,0.25794,11166.836,0.25794,11242.075,0.25794,7397.983,0.257937,2537.920,0.25794,4492.279,0.257937,7521.120,0.25794,5492.417,0.257937,3319.502,0.25794,4247.366,0.25794,329.871,0.25794,6361.600,0.25794,7301.954,0.257937,7040.564,0.257937,2060.695,0.257937,3263.553,0.25794,2083.627,0.25794,2135.750,0.257937,4582.202,0.25794,7615.403,0.257937,44.072,0.25794,2841.150,0.257937,8555.963,0.25794,218.238,0.25794,9129.756,0.25794,7438.851,0.25794,2724.677,0.25794,4046.777,0.257937,3081.584,0.25794,1016.517,0.25794,11132.172,0.25794,6037.430,0.25794,9925.529,0.25794,2683.036,0.25794,3218.063,0.25794,7451.741,0.25794,2419.851,0.25794,5017.827,0.257937,2811.256,0.257937,1949.824,0.25794,1631.365,0.257937,4088.863,0.25794,6377.198,0.25794,12342.299,0.25794,4129.456,0.25794,1399.699,0.25794,365.974,0.25794,4865.745,0.25794,3486.644,0.25794,4737.196,0.25794,542.088,0.25794,4470.553,0.25794,952.565,0.25794,6421.200,0.25794,3719.646,0.25794,1092.906,0.25794,5023.206,0.25794,5451.653,0.25794,5359.691,0.25794,1787.990,0.25794,1180.205,0.25794,2801.800,0.25794,3751.393,0.25794,4106.520,0.25794,6914.459,0.25794,4619.124,0.25794,984.009,0.25794,9318.048,0.25794,2300.196,0.25794,9177.633,0.25794,13896.057,0.25794,3778.852,0.25794,6149.937,0.25794,9743.743,0.25794,10422.027,0.25794,3422.076,0.25794,6788.382,0.25794,5248.679,0.257937,5664.627,0.25794,4947.918,0.257937,3096.543,0.25794,3811.805,0.257937,4237.984,0.25794,323.198,0.257937,3878.721,0.25794,60.272
0.29018,284.011,0.29018,5405.161,0.29018,10635.538,0.29018,10154.633,0.29018,7530.933,0.290179,3050.102,0.29018,4399.045,0.290179,8341.713,0.29018,6514.291,0.290179,2738.492,0.29018,3980.815,0.29018,565.474,0.29018,6911.333,0.29018,6152.920,0.290179,6491.966,0.290179,1473.709,0.290179,2523.659,0.29018,2414.967,0.29018,640.817,0.290179,4653.898,0.29018,8117.146,0.290179,35.547,0.29018,1917.065,0.290179,7496.626,0.29018,221.145,0.29018,8901.710,0.29018,6517.340,0.29018,2992.899,0.29018,3416.800,0.290179,2661.378,0.29018,1524.076,0.29018,11288.127,0.29018,4990.232,0.29018,9472.194,0.29018,2324.201,0.29018,3176.352,0.29018,7643.276,0.29018,2301.822,0.29018,5354.400,0.290179,3168.681,0.290179,1919.731,0.29018,1661.243,0.290179,3988.454,0.29018,6100.896,0.29018,12207.126,0.29018,3646.634,0.29018,522.393,0.29018,601.462,0.29018,5336.998,0.29018,3821.386,0.29018,4635.253,0.29018,1113.461,0.29018,4406.488,0.29018,582.602,0.29018,5527.981,0.29018,2684.957,0.29018,645.937,0.29018,4518.091,0.29018,7710.973,0.29018,4727.986,0.29018,1423.916,0.29018,595.890,0.29018,2616.124,0.29018,4199.114,0.29018,4694.859,0.29018,6628.805,0.29018,4213.560,0.29018,401.612,0.29018,7925.282,0.29018,2012.849,0.29018,7998.281,0.29018,13725.852,0.29018,3879.968,0.29018,6072.828,0.29018,9529.940,0.29018,9528.177,0.29018,2696.086,0.29018,7118.090,0.29018,5223.228,0.290179,6450.267,0.29018,4527.532,0.290179,3221.501,0.29018,3354.282,0.290179,4101.476,0.29018,116.716,0.290179,4792.368,0.29018,36.324
